"year","array","site","lat","long","n_weeks","deer_present","predator_detections","n_young","n_female","n_male","PC1","PC2","disturbance_index","linear_index","polygonal_index","roads","wells","well_gas","well_oil","well_bitumen","inactive_well","seismic","seismic_3D","harvest","pipeline","winter_year","mean_snow_lag1","mean_min_temp","winter_year_lag2","mean_snow_lag2","winter_year_lag3","mean_snow_lag3","mean_snow_temporal","mean_min_temp_temporal","mean_snow_spatial","mean_min_temp_spatial","snow_anomaly","temp_anomaly","predator_index"
2023,"LU13","LU13_56",1.02776028701742,-111.10345,16,0,1,0,0,0,-1.00871627270601,-0.0216165126726137,-0.0458132638809783,1.47507192599053,-0.525557412249313,0.026779129,0,0,0,0,0.003144545,0.010157922,0.038275061,0,0.054836908,2022,-0.54756695246897,-13.8040094339623,2021,1.51905017847778,2020,0.428242177034883,13.6092764370338,-11.9164168494954,1.22064993929537,-13.7477156253267,-1.07686961070987,-0.0562938086355924,-0.612362810776168
2022,"LU13","LU13_57",1.08992457794132,-111.05726,1,0,0,0,0,0,-1.74944577357605,-0.212485188991524,0.795316181592794,4.23632966148175,-0.498978582742119,0.053673212,0.001579378,0,0,0,0.013041398,0.007701207,0.054696356,0,0.090045345,2021,1.71029047468652,-14.6804245283019,2020,0.754884443315626,2019,1.17439182501457,38.0779451513822,-12.7932833479596,1.32159178962969,-13.6665496884008,0.894140055703334,-1.01387483990108,-0.69669265133676
2023,"LU13","LU13_57",1.08992457794132,-111.05726,16,0,0,0,0,0,-1.74944577357605,-0.212485188991524,0.795316181592794,4.23632966148175,-0.498978582742119,0.053673212,0.001579378,0,0,0,0.013041398,0.007701207,0.054696356,0,0.090045345,2022,-0.600410875034855,-13.9231603773585,2021,1.51118533395759,2020,0.661418016129787,13.6092764370338,-11.9164168494954,1.18833812371854,-13.8874729322665,-1.10859534503558,-0.0356874450919715,-0.69669265133676
2023,"LU13","LU13_59",0.992306411222982,-111.25407,16,0,8,0,0,0,-1.81869388575813,0.00633062939662793,-0.763855510426116,0.216639673948725,-0.902525349002428,0.037263466,0,0,0,0,0,0.003806263,0,0,0.029243371,2022,-0.874263288810485,-12.790141509434,2021,0.657219459259019,2020,-0.303724623702878,13.6092764370338,-11.9164168494954,-0.0532393530650524,-12.7943568030655,-0.756385685739811,0.00421529363151052,-0.0220539268520248
2022,"LU13","LU13_59",0.992306411222982,-111.25407,2,0,0,0,0,0,-1.81869388575813,0.00633062939662793,-0.763855510426116,0.216639673948725,-0.902525349002428,0.037263466,0,0,0,0,0,0.003806263,0,0,0.029243371,2021,0.897568688366232,-13.7006132075472,2020,0.000266237056630664,2019,0.173220184501948,38.0779451513822,-12.7932833479596,0.0276988351863989,-12.57393847549,0.789515571619976,-1.12667473205721,-0.69669265133676
2022,"LU13","LU13_70",1.08012961612449,-111.05211,2,0,1,0,0,0,-1.69196182979115,-0.282916235126797,0.908023275934118,3.87718458041884,-0.26031605867448,0.064487638,0.014221673,0,0,0,0.00803133,0.007151668,0.044721649,0,0.098236581,2021,1.69884748295847,-14.6818396226415,2020,0.734681713830881,2019,1.19413671554911,38.0779451513822,-12.7932833479596,1.36097447566663,-13.6665244100503,0.864962957585446,-1.01531521259118,-0.0220539268520248
2023,"LU13","LU13_70",1.08012961612449,-111.05211,16,0,2,0,0,0,-1.69196182979115,-0.282916235126797,0.908023275934118,3.87718458041884,-0.26031605867448,0.064487638,0.014221673,0,0,0,0.00803133,0.007151668,0.044721649,0,0.098236581,2022,-0.596409778743251,-13.9281132075472,2021,1.49916163211435,2020,0.635579101159269,13.6092764370338,-11.9164168494954,1.2271915376668,-13.8881369210224,-1.12370378626744,-0.0399762865247766,-0.528032970215576
2024,"LU14","LU14_03",0.792075447314943,-112.30953,17,2,20,0,1,1,-0.568000944732179,-0.191253504170816,-0.850082006880507,-0.522709161920454,-0.758127267457367,0.0274764165188501,0,0,0,0,0.00300682964385193,0.00221965872440785,0,0,0,2023,-0.335185128518407,-10.1528638497653,2022,-0.979438080153379,2021,1.33787572067462,16.2434159842778,-9.26000327546675,0.586588390407839,-12.4748438257165,-0.581939488398664,2.32197997595124,0.890692582744964
2024,"LU14","LU14_07",0.804887760263221,-112.41011,17,0,3,0,0,0,1.1879941285288,-0.520563024160547,-0.689307858407418,-0.435713214004797,-0.610919290713962,0.0294468658227772,0,0,0,0,0.00320176651280906,0.00349319563160358,0,0,0,2023,-0.295615820317292,-10.1489671361502,2022,-0.966761490545271,2021,1.35585544083756,16.2434159842778,-9.26000327546675,0.606472477576991,-12.4640479534035,-0.556110002293426,2.31508081725322,-0.458584866224501
2024,"LU14","LU14_08",0.80350480766131,-112.38725,17,2,18,0,0,1,-0.202686667654246,-0.563886020831905,-0.925127202250599,-0.660399127422887,-0.795537198571047,0.026465000363144,0,0,0,0,0.00277072859533203,0.000735759376127655,0,0,0,2023,-0.287483181762991,-10.1547417840376,2022,-0.968097457416738,2021,1.36724179247899,16.2434159842778,-9.26000327546675,0.622238045666863,-12.4770363482901,-0.556418432031985,2.32229456425251,0.731954059336791
2024,"LU14","LU14_09",0.803619101264778,-112.36073,17,1,14,0,0,1,-0.24089027534416,-0.405263024420403,-0.346345694713754,-0.396426319565485,-0.249726467988613,0.0324430858408081,0,0,0,0,0.00414711487837639,0,0,0,0,2023,-0.298271886447327,-10.1523004694836,2022,-0.972124227619735,2021,1.337653689231,16.2434159842778,-9.26000327546675,0.612373494766225,-12.471220268849,-0.561323944310612,2.31891979936545,0.414477012520451
2024,"LU14","LU14_100",1.09792513018378,-112.32694,16,0,4,0,0,0,0.146525097902549,1.52109736380814,-0.998377550963246,-1.06097829996847,-0.746225558056113,0,0,0,0,0,0.00125065905032812,0.00866634981611409,0,0.0288005926935867,0,2023,0.0812595872544117,-10.8858685446009,2022,-0.775363479659634,2021,1.81438898608267,16.2434159842778,-9.26000327546675,1.48207315855187,-13.2943528778534,-0.640146693165497,2.40848433325246,-0.359373289094392
