"array","year","site","n_weeks","deer_present","wolf_present"
"LU13",2022,"LU13_47",1,0,0
"LU13",2022,"LU13_49",2,0,0
"LU13",2022,"LU13_51",2,0,0
"LU13",2022,"LU13_52",2,0,2
"LU13",2022,"LU13_53",2,0,0
"LU13",2022,"LU13_55",1,0,0
"LU13",2022,"LU13_56",2,0,0
"LU13",2022,"LU13_57",1,0,0
"LU13",2022,"LU13_59",2,0,0
"LU13",2022,"LU13_70",2,0,0
"LU13",2023,"LU13_03",16,2,0
"LU13",2023,"LU13_05",16,3,0
"LU13",2023,"LU13_06",16,0,0
"LU13",2023,"LU13_08",7,0,0
"LU13",2023,"LU13_11",16,0,0
"LU13",2023,"LU13_12",16,2,0
"LU13",2023,"LU13_128",16,3,3
"LU13",2023,"LU13_13",16,1,1
"LU13",2023,"LU13_131",16,2,0
"LU13",2023,"LU13_14",16,0,0
"LU13",2023,"LU13_15",16,5,0
"LU13",2023,"LU13_16",16,1,0
"LU13",2023,"LU13_17",16,1,0
"LU13",2023,"LU13_18",16,10,0
"LU13",2023,"LU13_19",16,0,2
"LU13",2023,"LU13_20",16,0,0
"LU13",2023,"LU13_21",16,7,0
"LU13",2023,"LU13_22",16,0,0
"LU13",2023,"LU13_26",16,0,0
"LU13",2023,"LU13_27",16,0,0
"LU13",2023,"LU13_30",16,4,0
"LU13",2023,"LU13_32",16,1,0
"LU13",2023,"LU13_33",16,1,0
"LU13",2023,"LU13_34",16,0,0
"LU13",2023,"LU13_35",16,1,0
"LU13",2023,"LU13_36",16,0,0
"LU13",2023,"LU13_37",16,0,0
"LU13",2023,"LU13_38",16,0,0
"LU13",2023,"LU13_41",16,0,0
"LU13",2023,"LU13_43",16,0,0
"LU13",2023,"LU13_45",16,0,0
"LU13",2023,"LU13_47",16,0,0
"LU13",2023,"LU13_49",16,0,0
"LU13",2023,"LU13_51",16,1,1
"LU13",2023,"LU13_52",16,0,0
"LU13",2023,"LU13_53",16,0,0
"LU13",2023,"LU13_55",16,0,0
"LU13",2023,"LU13_56",16,0,0
"LU13",2023,"LU13_57",16,0,0
"LU13",2023,"LU13_59",16,0,0
"LU13",2023,"LU13_70",16,0,0
"LU14",2024,"LU14_03",17,2,1
"LU14",2024,"LU14_07",17,0,0
"LU14",2024,"LU14_08",17,2,0
"LU14",2024,"LU14_09",17,1,0
"LU14",2024,"LU14_100",16,0,0
"LU14",2024,"LU14_102",16,3,0
"LU14",2024,"LU14_105",16,0,1
"LU14",2024,"LU14_110",16,0,5
"LU14",2024,"LU14_114",16,0,0
"LU14",2024,"LU14_115",16,0,2
"LU14",2024,"LU14_120",16,0,0
"LU14",2024,"LU14_121",16,0,0
"LU14",2024,"LU14_131",16,0,2
"LU14",2024,"LU14_135",16,0,0
"LU14",2024,"LU14_16",16,0,0
"LU14",2024,"LU14_17",16,0,0
"LU14",2024,"LU14_19",17,1,0
"LU14",2024,"LU14_20",17,1,0
"LU14",2024,"LU14_250",16,4,1
"LU14",2024,"LU14_30",17,0,0
"LU14",2024,"LU14_31",17,0,0
"LU14",2024,"LU14_33",16,0,0
"LU14",2024,"LU14_37",16,2,0
"LU14",2024,"LU14_47",17,6,1
"LU14",2024,"LU14_48",17,2,0
"LU14",2024,"LU14_49",17,4,0
"LU14",2024,"LU14_51",16,2,1
"LU14",2024,"LU14_54",17,0,0
"LU14",2024,"LU14_56",16,1,0
"LU14",2024,"LU14_61",17,0,0
"LU14",2024,"LU14_62",16,0,0
"LU14",2024,"LU14_63",17,0,0
"LU14",2024,"LU14_71",16,0,0
"LU14",2024,"LU14_72",16,0,0
"LU14",2024,"LU14_74",16,0,3
"LU14",2024,"LU14_75",16,0,0
"LU14",2024,"LU14_76",16,1,4
"LU14",2024,"LU14_78",16,6,0
"LU14",2024,"LU14_80",16,3,1
"LU14",2024,"LU14_84",9,0,0
"LU14",2024,"LU14_85",16,0,0
"LU14",2024,"LU14_86",16,4,0
"LU14",2024,"LU14_88",16,1,1
"LU14",2024,"LU14_91",16,0,1
"LU14",2024,"LU14_92",16,2,0
"LU14",2024,"LU14_96",16,3,0
"LU14",2024,"LU14_97",16,1,0
"LU15",2022,"LU15_01",2,0,0
"LU15",2022,"LU15_02",2,0,0
"LU15",2022,"LU15_03",2,0,0
"LU15",2022,"LU15_04",2,0,0
"LU15",2022,"LU15_07",2,0,0
"LU15",2022,"LU15_08",2,1,0
"LU15",2022,"LU15_09",2,0,0
"LU15",2022,"LU15_10",2,2,0
"LU15",2022,"LU15_11",2,0,0
"LU15",2022,"LU15_12",2,0,0
"LU15",2022,"LU15_14",2,1,0
"LU15",2022,"LU15_15",2,1,0
"LU15",2022,"LU15_16",2,0,0
"LU15",2022,"LU15_17",2,0,0
"LU15",2022,"LU15_18",2,0,0
"LU15",2022,"LU15_19",2,0,0
"LU15",2022,"LU15_20",2,2,0
"LU15",2022,"LU15_21",2,0,0
"LU15",2022,"LU15_22",2,1,0
"LU15",2022,"LU15_23",2,0,0
"LU15",2022,"LU15_24",2,1,0
"LU15",2022,"LU15_25",2,0,0
"LU15",2022,"LU15_26",2,1,0
"LU15",2022,"LU15_27",2,0,0
"LU15",2022,"LU15_28",2,0,0
"LU15",2022,"LU15_29",2,0,0
"LU15",2022,"LU15_30",2,0,0
"LU15",2022,"LU15_31",2,1,0
"LU15",2022,"LU15_32",2,0,0
"LU15",2022,"LU15_34",2,0,0
"LU15",2022,"LU15_36",2,0,0
"LU15",2022,"LU15_37",2,0,0
"LU15",2022,"LU15_40",2,0,0
"LU15",2022,"LU15_41",2,0,0
"LU15",2022,"LU15_43",2,0,0
"LU15",2022,"LU15_44",2,0,0
"LU15",2022,"LU15_46",2,1,0
"LU15",2022,"LU15_58",2,0,0
"LU15",2022,"LU15_61",2,1,0
"LU15",2023,"LU15_01",14,0,2
"LU15",2023,"LU15_02",14,0,0
"LU15",2023,"LU15_03",14,3,0
"LU15",2023,"LU15_04",14,0,0
"LU15",2023,"LU15_07",14,1,0
"LU15",2023,"LU15_08",14,9,0
"LU15",2023,"LU15_09",14,1,0
"LU15",2023,"LU15_10",14,10,5
"LU15",2023,"LU15_11",14,0,0
"LU15",2023,"LU15_14",14,13,0
"LU15",2023,"LU15_15",14,9,0
"LU15",2023,"LU15_16",14,3,1
